DATE ,PRCP,TEMP
2024-01-18 00:35:05,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:10,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:15,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:20,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:25,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:30,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:35,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:40,1,27.1
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:45,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:50,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:35:55,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:00,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:05,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:10,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:15,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:20,1,26.7
,FALSE,FALSE
,FALSE,26.7
2024-01-18 00:36:25,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:30,1,26.7
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:35,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:40,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:45,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:50,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:36:55,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:00,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:05,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:10,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:15,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:20,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:25,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:30,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:35,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:40,1,26.2
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:45,1,26
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:50,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:37:55,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:00,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:05,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:10,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:15,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:20,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:25,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:30,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:35,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:40,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:45,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:50,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:38:55,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:00,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:05,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:10,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:15,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:20,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:25,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:30,1,25.8
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:35,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:40,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:45,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:50,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:39:55,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:40:00,1,25.3
,FALSE,FALSE
,FALSE,FALSE
2024-01-18 00:40:05,1,25.3
,FALSE,FALSE
